id,file_stem,raw_text,text_char_len,text_word_len,raw_text_equal_across_versions,text_features_equal,text_bert_equal,id_equal,text_bert_valid_len,text_bert_starts_with_101,aligned_audio_shape,aligned_vision_shape,aligned_text_shape,aligned_audio_nonzero_steps,aligned_audio_internal_zero_steps,aligned_vision_nonzero_steps,aligned_vision_internal_zero_steps,aligned_text_internal_zero_steps,aligned_audio_matches_bert,unaligned_audio_shape,unaligned_vision_shape,unaligned_audio_lengths,unaligned_vision_lengths,unaligned_audio_inferred_length,unaligned_vision_inferred_length,unaligned_audio_internal_zero_steps,unaligned_vision_internal_zero_steps,audio_length_matches_inferred,vision_length_matches_inferred,found_in_dataset02,dataset02_match_count,dataset02_matches,aligned_fields,unaligned_fields
11,11,I would be ashamed to have made this film if I was a director,61,14,True,True,True,True,16,True,50x74,50x35,50x768,14,0,14,0,0,True,500x74,500x35,114,86,114,86,0,0,True,True,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
12,12,"Or worse, an individual previously had good credit, but usually by no fault of their own, or perhaps by fault of their own, they have let their credit sag, and credit scores is very low.",186,35,True,True,True,True,44,True,50x74,50x35,50x768,42,0,42,0,0,True,500x74,500x35,257,193,257,193,0,0,True,True,True,1,test:gE7kUqMqQ9g$_$2,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
13,13,"For example, I could take a set of data and from that data, I can find a relationship between any two of the given factors or more.",131,27,True,True,True,True,32,True,50x74,50x35,50x768,30,0,0,0,0,True,500x74,500x35,173,1,173,18,0,0,True,False,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
14,14,He is the co-founder of Rossen and Vettese Limited and the former Executive Director of Uniform Final Examination (UFE) courses at Toronto's York University.,157,24,True,True,True,True,37,True,50x74,50x35,50x768,35,0,35,0,0,True,500x74,500x35,204,153,204,153,0,0,True,True,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
15,15,"However, despite their poverty, the family prioritize education because they believed in its power to transform lives",117,17,True,True,True,True,23,True,50x74,50x35,50x768,21,0,21,0,0,True,500x74,500x35,145,110,145,110,0,0,True,True,True,1,test:SKTyBOhDX6U$_$9,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
16,16,"It's a terrible, this is a terrible movie",41,8,True,True,True,True,13,True,50x74,50x35,50x768,11,0,11,0,0,True,500x74,500x35,60,1,60,44,0,0,True,False,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
17,17,"Applying these four design concepts to your presentations is simple, easy and will make people think you turned into a design guru.",131,22,True,True,True,True,26,True,50x74,50x35,50x768,24,0,24,0,0,True,500x74,500x35,191,143,191,143,0,0,True,True,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
18,18,"-And in Denmark - the first Baltic Cod fishery has been MSC – certified -Meanwhile, the Faeroese Mackerel Fishery has been denied MSC certification based on the fact that the fishery has failed to reach an agreement on mackerel quotas with Norway and the European Union.",270,46,True,True,True,True,50,True,50x74,50x35,50x768,48,0,48,0,0,True,500x74,500x35,372,280,372,280,0,0,True,True,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
19,19,"People are surprisingly forgiving brands when they own up to mistakes, and unfortunately some haters out there love to point fingers and jump all over imperfections, but for the most part, people understand",206,33,True,True,True,True,41,True,50x74,50x35,50x768,39,0,39,0,0,True,500x74,500x35,272,204,272,204,0,0,True,True,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
20,20,"And of course, click in the link of the description of this video for more, and we'll have more live updates and a stock market video (wrap-up) at the end of the day today.",172,34,True,True,True,True,45,True,50x74,50x35,50x768,43,0,43,0,0,True,500x74,500x35,216,162,216,162,0,0,True,True,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
