id,video_id,clip_id,mode,pkl_split,label,regression_label,score_abs_diff,annotation,pkl_polarity,classification_label
0OC3wf9x3zQ$_$6,0OC3wf9x3zQ,6,train,train,0.0,0.0,0.0,Neutral,neutral,1
0OC3wf9x3zQ$_$7,0OC3wf9x3zQ,7,train,train,0.0,0.0,0.0,Neutral,neutral,1
0OXeN3MhFeA$_$15,0OXeN3MhFeA,15,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
0OXeN3MhFeA$_$18,0OXeN3MhFeA,18,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
0OXeN3MhFeA$_$19,0OXeN3MhFeA,19,train,train,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
0Svu5BldR5A$_$0,0Svu5BldR5A,0,train,train,1.6666666269302368,1.6666666269302368,0.0,Positive,positive,2
0YdYFtVdlWE$_$10,0YdYFtVdlWE,10,train,train,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
0YdYFtVdlWE$_$14,0YdYFtVdlWE,14,train,train,2.0,2.0,0.0,Positive,positive,2
0YdYFtVdlWE$_$15,0YdYFtVdlWE,15,train,train,0.0,0.0,0.0,Neutral,neutral,1
0YdYFtVdlWE$_$6,0YdYFtVdlWE,6,train,train,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
0YdYFtVdlWE$_$7,0YdYFtVdlWE,7,train,train,0.0,0.0,0.0,Neutral,neutral,1
0YdYFtVdlWE$_$8,0YdYFtVdlWE,8,train,train,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
0YiAKqU36KE$_$0,0YiAKqU36KE,0,test,test,-1.0,-1.0,0.0,Negative,negative,0
0YiAKqU36KE$_$1,0YiAKqU36KE,1,test,test,1.3333333730697632,1.3333333730697632,0.0,Positive,positive,2
0bsTzavb-AE$_$3,0bsTzavb-AE,3,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
0bxhZ-LIfZY$_$4,0bxhZ-LIfZY,4,test,test,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
0hCOCt6fWas$_$15,0hCOCt6fWas,15,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
0hCOCt6fWas$_$2,0hCOCt6fWas,2,train,train,0.0,0.0,0.0,Neutral,neutral,1
0hCihQ5Kep0$_$3,0hCihQ5Kep0,3,train,train,1.6666666269302368,1.6666666269302368,0.0,Positive,positive,2
0hCihQ5Kep0$_$4,0hCihQ5Kep0,4,train,train,1.6666666269302368,1.6666666269302368,0.0,Positive,positive,2
0jtdrsmVzYQ$_$5,0jtdrsmVzYQ,5,train,train,0.0,0.0,0.0,Neutral,neutral,1
0mXv97u2OCM$_$7,0mXv97u2OCM,7,train,train,0.0,0.0,0.0,Neutral,neutral,1
0p9XKC_J3hU$_$2,0p9XKC_J3hU,2,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
0rE8jEvQW_I$_$3,0rE8jEvQW_I,3,train,train,1.0,1.0,0.0,Positive,positive,2
0rE8jEvQW_I$_$4,0rE8jEvQW_I,4,train,train,1.3333333730697632,1.3333333730697632,0.0,Positive,positive,2
0rE8jEvQW_I$_$9,0rE8jEvQW_I,9,train,train,2.3333332538604736,2.3333332538604736,0.0,Positive,positive,2
0tkWa2skSmA$_$6,0tkWa2skSmA,6,train,train,0.0,0.0,0.0,Neutral,neutral,1
0tkWa2skSmA$_$8,0tkWa2skSmA,8,train,train,0.0,0.0,0.0,Neutral,neutral,1
0utROiKxejc$_$1,0utROiKxejc,1,valid,valid,0.0,0.0,0.0,Neutral,neutral,1
0utROiKxejc$_$4,0utROiKxejc,4,valid,valid,0.0,0.0,0.0,Neutral,neutral,1
0y022OlZ3W0$_$3,0y022OlZ3W0,3,valid,valid,1.3333333730697632,1.3333333730697632,0.0,Positive,positive,2
0y022OlZ3W0$_$5,0y022OlZ3W0,5,valid,valid,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
0y022OlZ3W0$_$8,0y022OlZ3W0,8,valid,valid,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
100178$_$15,100178,15,test,test,0.0,0.0,0.0,Neutral,neutral,1
100499$_$4,100499,4,train,train,0.0,0.0,0.0,Neutral,neutral,1
100499$_$5,100499,5,train,train,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
101787$_$1,101787,1,valid,valid,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
101787$_$11,101787,11,valid,valid,0.0,0.0,0.0,Neutral,neutral,1
101787$_$13,101787,13,valid,valid,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
101787$_$5,101787,5,valid,valid,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
101787$_$7,101787,7,valid,valid,1.0,1.0,0.0,Positive,positive,2
101787$_$9,101787,9,valid,valid,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
101851$_$0,101851,0,train,train,0.0,0.0,0.0,Neutral,neutral,1
101851$_$13,101851,13,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
101851$_$14,101851,14,train,train,1.0,1.0,0.0,Positive,positive,2
101851$_$16,101851,16,train,train,-1.0,-1.0,0.0,Negative,negative,0
102184$_$1,102184,1,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
102184$_$12,102184,12,train,train,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
102184$_$3,102184,3,train,train,1.0,1.0,0.0,Positive,positive,2
102184$_$7,102184,7,train,train,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
10219$_$1,10219,1,test,test,0.0,0.0,0.0,Neutral,neutral,1
10219$_$10,10219,10,test,test,2.0,2.0,0.0,Positive,positive,2
10219$_$5,10219,5,test,test,1.6666666269302368,1.6666666269302368,0.0,Positive,positive,2
102213$_$2,102213,2,test,test,1.3333333730697632,1.3333333730697632,0.0,Positive,positive,2
102213$_$5,102213,5,test,test,-1.0,-1.0,0.0,Negative,negative,0
102213$_$7,102213,7,test,test,-1.0,-1.0,0.0,Negative,negative,0
10223$_$1,10223,1,train,train,-1.0,-1.0,0.0,Negative,negative,0
10223$_$9,10223,9,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
102389$_$5,102389,5,test,test,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
102408$_$2,102408,2,valid,valid,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
102408$_$5,102408,5,valid,valid,-2.0,-2.0,0.0,Negative,negative,0
102408$_$9,102408,9,valid,valid,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
102858$_$0,102858,0,valid,valid,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
102858$_$1,102858,1,valid,valid,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
102858$_$10,102858,10,valid,valid,2.0,2.0,0.0,Positive,positive,2
102858$_$17,102858,17,valid,valid,1.0,1.0,0.0,Positive,positive,2
102858$_$19,102858,19,valid,valid,0.0,0.0,0.0,Neutral,neutral,1
102858$_$20,102858,20,valid,valid,2.0,2.0,0.0,Positive,positive,2
102858$_$21,102858,21,valid,valid,1.0,1.0,0.0,Positive,positive,2
102858$_$4,102858,4,valid,valid,3.0,3.0,0.0,Positive,positive,2
102858$_$6,102858,6,valid,valid,2.6666667461395264,2.6666667461395264,0.0,Positive,positive,2
104741$_$0,104741,0,test,test,0.0,0.0,0.0,Neutral,neutral,1
104741$_$5,104741,5,test,test,0.0,0.0,0.0,Neutral,neutral,1
106077$_$1,106077,1,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
106077$_$2,106077,2,train,train,0.0,0.0,0.0,Neutral,neutral,1
106077$_$7,106077,7,train,train,-1.0,-1.0,0.0,Negative,negative,0
106514$_$10,106514,10,train,train,-1.0,-1.0,0.0,Negative,negative,0
106514$_$2,106514,2,train,train,1.3333333730697632,1.3333333730697632,0.0,Positive,positive,2
106514$_$9,106514,9,train,train,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
106941$_$10,106941,10,train,train,-2.0,-2.0,0.0,Negative,negative,0
106941$_$12,106941,12,train,train,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
106941$_$2,106941,2,train,train,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
106941$_$3,106941,3,train,train,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
106941$_$7,106941,7,train,train,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
106941$_$8,106941,8,train,train,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
106941$_$9,106941,9,train,train,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
107551$_$1,107551,1,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
107551$_$3,107551,3,train,train,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
107551$_$5,107551,5,train,train,-2.3333332538604736,-2.3333332538604736,0.0,Negative,negative,0
107551$_$6,107551,6,train,train,0.0,0.0,0.0,Neutral,neutral,1
107585$_$1,107585,1,test,test,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
107585$_$12,107585,12,test,test,-2.0,-2.0,0.0,Negative,negative,0
107585$_$18,107585,18,test,test,-2.0,-2.0,0.0,Negative,negative,0
108146$_$3,108146,3,test,test,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
108793$_$0,108793,0,train,train,0.0,0.0,0.0,Neutral,neutral,1
108793$_$1,108793,1,train,train,1.3333333730697632,1.3333333730697632,0.0,Positive,positive,2
108793$_$10,108793,10,train,train,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
108793$_$17,108793,17,train,train,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
108793$_$8,108793,8,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
110203$_$2,110203,2,train,train,0.0,0.0,0.0,Neutral,neutral,1
110203$_$7,110203,7,train,train,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
110565$_$1,110565,1,test,test,-1.0,-1.0,0.0,Negative,negative,0
110565$_$5,110565,5,test,test,1.0,1.0,0.0,Positive,positive,2
110754$_$2,110754,2,train,train,0.0,0.0,0.0,Neutral,neutral,1
110754$_$3,110754,3,train,train,0.0,0.0,0.0,Neutral,neutral,1
110766$_$8,110766,8,train,train,-1.0,-1.0,0.0,Negative,negative,0
110788$_$0,110788,0,train,train,0.0,0.0,0.0,Neutral,neutral,1
110788$_$5,110788,5,train,train,0.0,0.0,0.0,Neutral,neutral,1
111881$_$10,111881,10,test,test,-2.0,-2.0,0.0,Negative,negative,0
111881$_$11,111881,11,test,test,-1.0,-1.0,0.0,Negative,negative,0
111881$_$15,111881,15,test,test,-2.0,-2.0,0.0,Negative,negative,0
111881$_$4,111881,4,test,test,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
111881$_$6,111881,6,test,test,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
111881$_$7,111881,7,test,test,-2.0,-2.0,0.0,Negative,negative,0
112148$_$12,112148,12,train,train,1.0,1.0,0.0,Positive,positive,2
112148$_$4,112148,4,train,train,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
112148$_$5,112148,5,train,train,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
112148$_$7,112148,7,train,train,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
112169$_$7,112169,7,train,train,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
112425$_$1,112425,1,test,test,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
112425$_$10,112425,10,test,test,2.3333332538604736,2.3333332538604736,0.0,Positive,positive,2
112425$_$7,112425,7,test,test,1.3333333730697632,1.3333333730697632,0.0,Positive,positive,2
112433$_$10,112433,10,valid,valid,0.0,0.0,0.0,Neutral,neutral,1
112433$_$3,112433,3,valid,valid,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
112433$_$6,112433,6,valid,valid,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
112433$_$7,112433,7,valid,valid,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
112509$_$4,112509,4,test,test,-2.0,-2.0,0.0,Negative,negative,0
112604$_$1,112604,1,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
112631$_$1,112631,1,train,train,0.0,0.0,0.0,Neutral,neutral,1
112631$_$6,112631,6,train,train,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
112903$_$0,112903,0,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
112903$_$3,112903,3,train,train,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
112903$_$6,112903,6,train,train,-2.6666667461395264,-2.6666667461395264,0.0,Negative,negative,0
113265$_$3,113265,3,train,train,-2.0,-2.0,0.0,Negative,negative,0
113265$_$4,113265,4,train,train,-2.0,-2.0,0.0,Negative,negative,0
114624$_$11,114624,11,train,train,-1.0,-1.0,0.0,Negative,negative,0
114624$_$6,114624,6,train,train,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
114624$_$8,114624,8,train,train,0.0,0.0,0.0,Neutral,neutral,1
116213$_$3,116213,3,test,test,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
11650$_$0,11650,0,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
11650$_$13,11650,13,train,train,-1.0,-1.0,0.0,Negative,negative,0
11650$_$18,11650,18,train,train,-2.3333332538604736,-2.3333332538604736,0.0,Negative,negative,0
11650$_$3,11650,3,train,train,0.0,0.0,0.0,Neutral,neutral,1
11650$_$4,11650,4,train,train,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
117tQqLjza4$_$6,117tQqLjza4,6,valid,valid,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
119348$_$11,119348,11,train,train,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
119348$_$2,119348,2,train,train,0.0,0.0,0.0,Neutral,neutral,1
119348$_$3,119348,3,train,train,1.0,1.0,0.0,Positive,positive,2
11j7EfglCAs$_$2,11j7EfglCAs,2,valid,valid,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
120vnZnmhq4$_$2,120vnZnmhq4,2,train,train,1.6666666269302368,1.6666666269302368,0.0,Positive,positive,2
121128$_$0,121128,0,valid,valid,0.0,0.0,0.0,Neutral,neutral,1
121128$_$1,121128,1,valid,valid,0.0,0.0,0.0,Neutral,neutral,1
121128$_$10,121128,10,valid,valid,2.0,2.0,0.0,Positive,positive,2
121128$_$5,121128,5,valid,valid,3.0,3.0,0.0,Positive,positive,2
121358$_$1,121358,1,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
121358$_$10,121358,10,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
121358$_$13,121358,13,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
121358$_$14,121358,14,train,train,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
121358$_$15,121358,15,train,train,0.0,0.0,0.0,Neutral,neutral,1
121358$_$4,121358,4,train,train,1.0,1.0,0.0,Positive,positive,2
121400$_$0,121400,0,test,test,0.0,0.0,0.0,Neutral,neutral,1
122439$_$4,122439,4,train,train,0.0,0.0,0.0,Neutral,neutral,1
122602$_$0,122602,0,train,train,0.0,0.0,0.0,Neutral,neutral,1
122602$_$12,122602,12,train,train,-1.0,-1.0,0.0,Negative,negative,0
122602$_$15,122602,15,train,train,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
122602$_$4,122602,4,train,train,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
122842$_$1,122842,1,train,train,3.0,3.0,0.0,Positive,positive,2
122842$_$6,122842,6,train,train,0.0,0.0,0.0,Neutral,neutral,1
125344$_$0,125344,0,valid,valid,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
125676$_$0,125676,0,valid,valid,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
125676$_$4,125676,4,valid,valid,2.0,2.0,0.0,Positive,positive,2
125730$_$0,125730,0,train,train,0.0,0.0,0.0,Neutral,neutral,1
125730$_$1,125730,1,train,train,1.6666666269302368,1.6666666269302368,0.0,Positive,positive,2
125730$_$12,125730,12,train,train,-1.0,-1.0,0.0,Negative,negative,0
125730$_$2,125730,2,train,train,2.3333332538604736,2.3333332538604736,0.0,Positive,positive,2
125730$_$8,125730,8,train,train,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
125845$_$1,125845,1,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
125845$_$3,125845,3,train,train,1.6666666269302368,1.6666666269302368,0.0,Positive,positive,2
125845$_$5,125845,5,train,train,1.3333333730697632,1.3333333730697632,0.0,Positive,positive,2
126542$_$11,126542,11,train,train,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
126542$_$12,126542,12,train,train,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
126542$_$16,126542,16,train,train,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
126542$_$17,126542,17,train,train,-2.0,-2.0,0.0,Negative,negative,0
126542$_$3,126542,3,train,train,0.0,0.0,0.0,Neutral,neutral,1
126831$_$10,126831,10,train,train,-2.3333332538604736,-2.3333332538604736,0.0,Negative,negative,0
126831$_$3,126831,3,train,train,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
126872$_$11,126872,11,test,test,-2.0,-2.0,0.0,Negative,negative,0
127470$_$5,127470,5,train,train,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
127470$_$6,127470,6,train,train,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
127539$_$5,127539,5,train,train,0.0,0.0,0.0,Neutral,neutral,1
127539$_$6,127539,6,train,train,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
127539$_$7,127539,7,train,train,-2.0,-2.0,0.0,Negative,negative,0
127539$_$8,127539,8,train,train,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
127539$_$9,127539,9,train,train,-1.0,-1.0,0.0,Negative,negative,0
128059$_$11,128059,11,valid,valid,-1.0,-1.0,0.0,Negative,negative,0
128059$_$12,128059,12,valid,valid,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
128059$_$2,128059,2,valid,valid,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
128059$_$6,128059,6,valid,valid,1.0,1.0,0.0,Positive,positive,2
128059$_$7,128059,7,valid,valid,0.0,0.0,0.0,Neutral,neutral,1
128059$_$9,128059,9,valid,valid,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
12812$_$3,12812,3,train,train,1.6666666269302368,1.6666666269302368,0.0,Positive,positive,2
12812$_$6,12812,6,train,train,2.3333332538604736,2.3333332538604736,0.0,Positive,positive,2
128258$_$1,128258,1,train,train,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
128258$_$13,128258,13,train,train,-1.0,-1.0,0.0,Negative,negative,0
128752$_$15,128752,15,train,train,-1.0,-1.0,0.0,Negative,negative,0
128752$_$16,128752,16,train,train,-2.0,-2.0,0.0,Negative,negative,0
128752$_$3,128752,3,train,train,0.0,0.0,0.0,Neutral,neutral,1
128752$_$7,128752,7,train,train,0.0,0.0,0.0,Neutral,neutral,1
128752$_$9,128752,9,train,train,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
128763$_$12,128763,12,valid,valid,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
128763$_$2,128763,2,valid,valid,0.0,0.0,0.0,Neutral,neutral,1
128763$_$3,128763,3,valid,valid,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
128763$_$5,128763,5,valid,valid,0.0,0.0,0.0,Neutral,neutral,1
128763$_$7,128763,7,valid,valid,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
128763$_$8,128763,8,valid,valid,0.0,0.0,0.0,Neutral,neutral,1
128949$_$2,128949,2,train,train,0.0,0.0,0.0,Neutral,neutral,1
129733$_$7,129733,7,train,train,0.0,0.0,0.0,Neutral,neutral,1
130149$_$3,130149,3,train,train,0.0,0.0,0.0,Neutral,neutral,1
130149$_$6,130149,6,train,train,-1.6666666269302368,-1.6666666269302368,0.0,Negative,negative,0
130366$_$11,130366,11,test,test,-1.3333333730697632,-1.3333333730697632,0.0,Negative,negative,0
130366$_$2,130366,2,test,test,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
130366$_$4,130366,4,test,test,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
130426$_$0,130426,0,train,train,-2.0,-2.0,0.0,Negative,negative,0
130426$_$6,130426,6,train,train,-2.0,-2.0,0.0,Negative,negative,0
130456$_$11,130456,11,valid,valid,1.6666666269302368,1.6666666269302368,0.0,Positive,positive,2
130456$_$3,130456,3,valid,valid,2.3333332538604736,2.3333332538604736,0.0,Positive,positive,2
130456$_$4,130456,4,valid,valid,0.0,0.0,0.0,Neutral,neutral,1
