version,file_name,sample_no,top_key,fields,matched,match_method,matched_id,matched_split,match_max_abs,match_candidate_count,nearest_id,nearest_split,audio_present,audio_shape,audio_dtype,audio_valid_length,audio_missing_steps,audio_missing_ratio,audio_run_count,audio_longest_run,audio_detection,audio_element_zero_ratio,vision_present,vision_shape,vision_dtype,vision_valid_length,vision_missing_steps,vision_missing_ratio,vision_run_count,vision_longest_run,vision_detection,vision_element_zero_ratio,text_present,text_bert_present,text_bert_shape,text_bert_dtype,text_bert_valid_len,text_bert_starts_with_101,text_bert_mask_has_internal_zero,text_bert_valid_length,text_bert_missing_steps,text_bert_missing_ratio,text_bert_run_count,text_bert_longest_run,text_bert_detection,affected_modalities,affected_count,raw_text,text_char_len,text_word_len,raw_text_equals_dataset02
aligned,aligned_version_28.pkl,28,test,"audio,text_bert,vision",False,unmatched,,,5.720179796218872,,255224$_$5,train,True,50x74,float32,34,11,0.3235294117647059,6,3,heuristic_internal_zeros,0.6148648648648649,True,50x35,float32,34,11,0.3235294117647059,6,3,heuristic_internal_zeros,0.56,False,True,3x50,float32,35.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_29.pkl,29,test,"audio,text_bert,vision",False,unmatched,,,5.517086774110794,,zJWmmDk9fCE$_$0,train,True,50x74,float32,17,6,0.35294117647058826,3,4,heuristic_internal_zeros,0.8159459459459459,True,50x35,float32,17,6,0.35294117647058826,3,4,heuristic_internal_zeros,0.8,False,True,3x50,float32,20.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_30.pkl,30,test,"audio,text_bert,vision",False,unmatched,,,12.35300064086914,,OwYfPi9St0w$_$1,train,True,50x74,float32,25,12,0.48,6,4,heuristic_internal_zeros,0.7967567567567567,True,50x35,float32,25,12,0.48,6,4,heuristic_internal_zeros,0.76,False,True,3x50,float32,26.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
unaligned,unaligned_version_01.pkl,01,test,"audio,raw_text,vision",True,raw_text,221153$_$16,test,0.0,1.0,,,True,500x74,float64,49,4,0.08163265306122448,3,2,compared_with_dataset02,0.9168918918918919,True,500x35,float64,37,4,0.10810810810810811,3,2,compared_with_dataset02,0.934,False,False,,,,,,,,,,,,"audio,vision",2,But two out of five stars,25.0,6.0,True
unaligned,unaligned_version_02.pkl,02,test,"audio,raw_text,vision",False,unmatched,,,13.113779544830322,,mkkoJ2iVbGs$_$5,train,True,500x74,float64,144,18,0.125,15,3,heuristic_internal_zeros,0.7714324324324324,True,500x35,float64,108,7,0.06481481481481481,6,2,heuristic_internal_zeros,0.798,False,False,,,,,,,,,,,,"audio,vision",2,How was it going to – the content and the use of ODLs – going to be detected in the individual care of a patient?,113.0,25.0,
unaligned,unaligned_version_03.pkl,03,test,"audio,raw_text,vision",False,unmatched,,,11.335350036621094,,OHWyYVux-yw$_$2,train,True,500x74,float64,195,23,0.11794871794871795,20,2,heuristic_internal_zeros,0.6897297297297297,True,500x35,float64,147,73,0.4965986394557823,10,47,heuristic_internal_zeros,0.852,False,False,,,,,,,,,,,,"audio,vision",2,"As you can see, it's playing here in the background (umm) it features mostly high school kids so (umm) hence the audience is geared towards",139.0,25.0,
unaligned,unaligned_version_04.pkl,04,test,"audio,raw_text,vision",False,unmatched,,,12.529800415039062,,DatH-ra0VKY$_$12,train,True,500x74,float64,242,32,0.1322314049586777,26,3,heuristic_internal_zeros,0.6241081081081081,True,500x35,float64,182,14,0.07692307692307693,13,2,heuristic_internal_zeros,0.664,False,False,,,,,,,,,,,,"audio,vision",2,"I think conversely or in addition, what we need to make sure that we're doing is helping our consumers to understand that we do offer certain services.",151.0,27.0,
unaligned,unaligned_version_05.pkl,05,test,"audio,raw_text,vision",False,unmatched,,,9.668689966201782,,261267$_$15,train,True,500x74,float64,92,8,0.08695652173913043,6,3,heuristic_internal_zeros,0.8537297297297297,True,500x35,float64,69,7,0.10144927536231885,6,2,heuristic_internal_zeros,0.876,False,False,,,,,,,,,,,,"audio,vision",2,And I watched it because I had nothing else better to do,56.0,12.0,
unaligned,unaligned_version_06.pkl,06,test,"audio,raw_text,vision",False,unmatched,,,7.978176217526197,,YITXOmhQhYE$_$0,train,True,500x74,float64,89,6,0.06741573033707865,4,2,heuristic_internal_zeros,0.8576486486486486,True,500x35,float64,65,4,0.06153846153846154,3,2,heuristic_internal_zeros,0.878,False,False,,,,,,,,,,,,"audio,vision",2,"Good morning, I am Adelina Vasileva and  this is the daily report from our newsroom in Varna.",93.0,17.0,
unaligned,unaligned_version_07.pkl,07,test,"audio,raw_text,vision",False,unmatched,,,6.242990255355835,,128059$_$7,valid,True,500x74,float64,180,22,0.12222222222222222,15,3,heuristic_internal_zeros,0.7173783783783784,True,500x35,float64,136,16,0.11764705882352941,16,1,heuristic_internal_zeros,0.76,False,False,,,,,,,,,,,,"audio,vision",2,Also exercise helps but remember to drink fluids when you're exercising to help sweat out that excess fluid.,108.0,18.0,
unaligned,unaligned_version_08.pkl,08,test,"audio,raw_text,vision",False,unmatched,,,9.479209661483765,,LityRNuQihc$_$5,train,True,500x74,float64,92,10,0.10869565217391304,10,1,heuristic_internal_zeros,0.8535945945945946,True,500x35,float64,69,7,0.10144927536231885,6,2,heuristic_internal_zeros,0.876,False,False,,,,,,,,,,,,"audio,vision",2,"It was a cartoon, of course, but it was kinda like a commentary",63.0,13.0,
unaligned,unaligned_version_09.pkl,09,test,"audio,raw_text,vision",False,unmatched,,,9.408518731594086,,Rt9rN1ntS3E$_$1,train,True,500x74,float64,94,8,0.0851063829787234,8,1,heuristic_internal_zeros,0.8427027027027028,True,500x35,float64,68,5,0.07352941176470588,5,1,heuristic_internal_zeros,0.874,False,False,,,,,,,,,,,,"audio,vision",2,But a Sole Proprietorship is a great way to start your business.,64.0,12.0,
unaligned,unaligned_version_10.pkl,10,test,"audio,raw_text,vision",False,unmatched,,,7.882159948348999,,53766$_$4,test,True,500x74,float64,57,8,0.14035087719298245,7,2,heuristic_internal_zeros,0.9098378378378379,True,500x35,float64,43,4,0.09302325581395349,4,1,heuristic_internal_zeros,0.922,False,False,,,,,,,,,,,,"audio,vision",2,Actually three versions of the film,35.0,6.0,
unaligned,unaligned_version_11.pkl,11,test,"audio,raw_text,vision",False,unmatched,,,6.2118149399757385,,pu1C7tmYHxI$_$2,train,True,500x74,float64,68,11,0.16176470588235295,9,3,heuristic_internal_zeros,0.8984054054054054,True,500x35,float64,46,11,0.2391304347826087,8,3,heuristic_internal_zeros,0.93,False,False,,,,,,,,,,,,"audio,vision",2,Our live webinars are in the process of a makeover too,54.0,11.0,
unaligned,unaligned_version_12.pkl,12,test,"audio,raw_text,vision",False,unmatched,,,13.375530004501343,,ygb8Cfxghbs$_$7,train,True,500x74,float64,104,17,0.16346153846153846,14,2,heuristic_internal_zeros,0.8441891891891892,True,500x35,float64,79,17,0.21518987341772153,12,2,heuristic_internal_zeros,0.876,False,False,,,,,,,,,,,,"audio,vision",2,The organization has achieved a 30 percent reduction in administrative function costs.,86.0,12.0,
unaligned,unaligned_version_13.pkl,13,test,"audio,raw_text,vision",False,unmatched,,,19.9180908203125,,VLQgw-88v4Q$_$6,test,True,500x74,float64,136,27,0.19852941176470587,26,2,heuristic_internal_zeros,0.812027027027027,True,500x35,float64,102,19,0.18627450980392157,17,2,heuristic_internal_zeros,0.834,False,False,,,,,,,,,,,,"audio,vision",2,"Not that running! But there will be campaign booths, question and answer and skits and speeches",95.0,16.0,
unaligned,unaligned_version_14.pkl,14,test,"audio,raw_text,vision",True,raw_text,EO_5o9Gup6g$_$10,test,0.0,1.0,,,True,500x74,float64,141,19,0.1347517730496454,15,4,compared_with_dataset02,0.7818108108108108,True,500x35,float64,106,20,0.18867924528301888,18,2,compared_with_dataset02,0.828,False,False,,,,,,,,,,,,"audio,vision",2,"Worse, will the government come up with fines or additional costs if businesses have to lay people off in the future?",117.0,21.0,True
unaligned,unaligned_version_15.pkl,15,test,"audio,raw_text,vision",False,unmatched,,,11.038999557495117,,274219$_$11,train,True,500x74,float64,169,32,0.1893491124260355,23,3,heuristic_internal_zeros,0.7583243243243243,True,500x35,float64,102,23,0.22549019607843138,17,3,heuristic_internal_zeros,0.842,False,False,,,,,,,,,,,,"audio,vision",2,"Most importantly, you can learn more about how you fit into this important framework  and how it operates at both the Agency and Center levels.",143.0,25.0,
unaligned,unaligned_version_16.pkl,16,test,"audio,raw_text,vision",False,unmatched,,,8.650049686431885,,dHk--ExZbHs$_$7,test,True,500x74,float64,239,48,0.200836820083682,38,3,heuristic_internal_zeros,0.6566216216216216,True,500x35,float64,175,32,0.18285714285714286,26,3,heuristic_internal_zeros,0.714,False,False,,,,,,,,,,,,"audio,vision",2,"The support as well that I've received around me, from my colleagues and my supervisory team has been excellent and I've had a really good experience so far.",157.0,28.0,
unaligned,unaligned_version_17.pkl,17,test,"audio,raw_text,vision",False,unmatched,,,7.907530069351196,,46497$_$3,train,True,500x74,float64,199,39,0.19597989949748743,31,4,heuristic_internal_zeros,0.7178648648648649,True,500x35,float64,124,39,0.31451612903225806,26,5,heuristic_internal_zeros,0.83,False,False,,,,,,,,,,,,"audio,vision",2,"Jin talked about her day, which included an exam that she believed that she at least did not do badly on",104.0,21.0,
unaligned,unaligned_version_18.pkl,18,test,"audio,raw_text,vision",False,unmatched,,,11.780149936676025,,L-a4Sh6iAcw$_$7,test,True,500x74,float64,175,24,0.13714285714285715,20,3,heuristic_internal_zeros,0.7314054054054054,True,500x35,float64,110,20,0.18181818181818182,18,2,heuristic_internal_zeros,0.82,False,False,,,,,,,,,,,,"audio,vision",2,"So you probably heard this before, people actually relate to people and not businesses or companies",99.0,16.0,
unaligned,unaligned_version_19.pkl,19,test,"audio,raw_text,vision",False,unmatched,,,7.011829853057861,,86c2OkQ3_U8$_$22,test,True,500x74,float64,147,35,0.23809523809523808,27,2,heuristic_internal_zeros,0.8033783783783783,True,500x35,float64,111,21,0.1891891891891892,18,3,heuristic_internal_zeros,0.82,False,False,,,,,,,,,,,,"audio,vision",2,"Her father, the breadwinner, died when she was barely a year old putting the family in a dire financial position",112.0,20.0,
unaligned,unaligned_version_20.pkl,20,test,"audio,raw_text,vision",False,unmatched,,,11.969839692115784,,O3whFU2lAAk$_$11,train,True,500x74,float64,310,65,0.20967741935483872,53,3,heuristic_internal_zeros,0.5544054054054054,True,500x35,float64,233,52,0.22317596566523606,37,8,heuristic_internal_zeros,0.638,False,False,,,,,,,,,,,,"audio,vision",2,(umm) The name of the team was the Tropics and then (umm) and there was a competition if their team xxx xxx xxx that then their team would be totally (umm) like moshed into some other team,188.0,37.0,
unaligned,unaligned_version_21.pkl,21,test,"audio,raw_text,vision",False,unmatched,,,8.884710311889648,,ZaoFHcbRM9g$_$3,valid,True,500x74,float64,67,24,0.3582089552238806,16,3,heuristic_internal_zeros,0.9232432432432433,True,500x35,float64,51,16,0.3137254901960784,11,4,heuristic_internal_zeros,0.93,False,False,,,,,,,,,,,,"audio,vision",2,Are they available to students that wish to learn,49.0,9.0,
unaligned,unaligned_version_22.pkl,22,test,"audio,raw_text,vision",False,unmatched,,,11.833660364151001,,L_XttWZBKss$_$3,train,True,500x74,float64,89,19,0.21348314606741572,17,2,heuristic_internal_zeros,0.873054054054054,True,500x35,float64,41,23,0.5609756097560976,9,8,heuristic_internal_zeros,0.964,False,False,,,,,,,,,,,,"audio,vision",2,"Philosophy wouldn’t be any fun if the key to knowledge were that easy, right",76.0,14.0,
unaligned,unaligned_version_23.pkl,23,test,"audio,raw_text,vision",False,unmatched,,,13.545750260353088,,P0UHzR4CmYg$_$3,test,True,500x74,float64,76,21,0.27631578947368424,15,4,heuristic_internal_zeros,0.9006756756756756,True,500x35,float64,58,17,0.29310344827586204,13,3,heuristic_internal_zeros,0.918,False,False,,,,,,,,,,,,"audio,vision",2,They will have a daily huddle that has everybody in the company,63.0,12.0,
unaligned,unaligned_version_24.pkl,24,test,"audio,raw_text,vision",True,raw_text,zhNksSReaQk$_$27,test,0.0,1.0,,,True,500x74,float64,64,16,0.25,15,2,compared_with_dataset02,0.9162702702702703,True,500x35,float64,48,12,0.25,10,2,compared_with_dataset02,0.928,False,False,,,,,,,,,,,,"audio,vision",2,"They could have a really high IQ""",33.0,7.0,True
unaligned,unaligned_version_25.pkl,25,test,"audio,raw_text,vision",True,raw_text,194299$_$14,test,0.0,1.0,,,True,500x74,float64,53,15,0.2830188679245283,9,3,compared_with_dataset02,0.933027027027027,True,500x35,float64,40,11,0.275,7,2,compared_with_dataset02,0.942,False,False,,,,,,,,,,,,"audio,vision",2,So that's what the storyline is about,37.0,7.0,True
unaligned,unaligned_version_26.pkl,26,test,"audio,raw_text,vision",False,unmatched,,,13.489100456237793,,P0UHzR4CmYg$_$11,test,True,500x74,float64,189,64,0.3386243386243386,40,5,heuristic_internal_zeros,0.7793783783783784,True,500x35,float64,141,40,0.28368794326241137,27,5,heuristic_internal_zeros,0.798,False,False,,,,,,,,,,,,"audio,vision",2,So you want to make sure as you're evaluating that everything in the speech makes sense and goes together.,106.0,19.0,
unaligned,unaligned_version_27.pkl,27,test,"audio,raw_text,vision",False,unmatched,,,5.746228098869324,,FdTczBnXtYU$_$3,train,True,500x74,float64,182,58,0.31868131868131866,38,4,heuristic_internal_zeros,0.7764324324324324,True,500x35,float64,136,34,0.25,29,2,heuristic_internal_zeros,0.796,False,False,,,,,,,,,,,,"audio,vision",2,Enforcement is fundamental to ASIC and our priorities of ensuring investors are confident and informed and market integrity maintained.,135.0,19.0,
unaligned,unaligned_version_28.pkl,28,test,"audio,raw_text,vision",False,unmatched,,,9.475200176239014,,F8KE2ZhoUe4$_$19,train,True,500x74,float64,175,53,0.3028571428571429,40,3,heuristic_internal_zeros,0.784027027027027,True,500x35,float64,132,40,0.30303030303030304,29,3,heuristic_internal_zeros,0.816,False,False,,,,,,,,,,,,"audio,vision",2,The CIA in Arabic materials are available to purchase on our web site at www.hockinternational.com or from Al-Joman Consultancy in Amman.,137.0,21.0,
unaligned,unaligned_version_29.pkl,29,test,"audio,raw_text,vision",False,unmatched,,,8.66072940826416,,Mw4EZYZAd9c$_$5,train,True,500x74,float64,90,32,0.35555555555555557,21,3,heuristic_internal_zeros,0.895,True,500x35,float64,68,20,0.29411764705882354,14,5,heuristic_internal_zeros,0.904,False,False,,,,,,,,,,,,"audio,vision",2,"The freedom to follow your dreams, to work with people that you like to work with.",82.0,16.0,
unaligned,unaligned_version_30.pkl,30,test,"audio,raw_text,vision",False,unmatched,,,14.95740032196045,,LityRNuQihc$_$13,train,True,500x74,float64,122,34,0.2786885245901639,26,3,heuristic_internal_zeros,0.8473243243243244,True,500x35,float64,74,25,0.33783783783783783,14,4,heuristic_internal_zeros,0.902,False,False,,,,,,,,,,,,"audio,vision",2,"Whatever the case may be, treat this as you would for an in-person interview – be ready around 10 minutes early",111.0,21.0,
